id,name,email,role
EMP-1001,SURAJ SINGH,surajbhoj0101@gmail.com,admin
EMP-1002,AMAN KUMAR,aman.kumar@gmail.com,viewer
EMP-1003,RAHUL SHARMA,rahul.sharma@gmail.com,editor
EMP-1004,PRIYA VERMA,priya.verma@gmail.com,viewer
EMP-1005,NEHA GUPTA,neha.gupta@gmail.com,editor
EMP-1006,ROHIT SINGH,rohit.singh@gmail.com,viewer
EMP-1007,ANKIT MEHTA,ankit.mehta@gmail.com,editor
EMP-1008,POOJA MISHRA,pooja.mishra@gmail.com,viewer
EMP-1009,VIKAS YADAV,vikas.yadav@gmail.com,editor
EMP-1010,SONALI JAIN,sonali.jain@gmail.com,viewer
EMP-1011,ARJUN PATEL,arjun.patel@gmail.com,editor
EMP-1012,KIRAN MALHOTRA,kiran.malhotra@gmail.com,viewer
EMP-1013,NITIN AGRAWAL,nitin.agrawal@gmail.com,editor
EMP-1014,SHIVAM PANDEY,shivam.pandey@gmail.com,viewer
EMP-1015,RITU SAXENA,ritu.saxena@gmail.com,editor
EMP-1016,MOHIT KHANNA,mohit.khanna@gmail.com,viewer
EMP-1017,DEEPIKA RAWAT,deepika.rawat@gmail.com,editor
EMP-1018,SAHIL CHOPRA,sahil.chopra@gmail.com,viewer
EMP-1019,ANJALI THAKUR,anjali.thakur@gmail.com,editor
EMP-1020,KUNAL BANSAL,kunal.bansal@gmail.com,viewer
